M2	e1	P2	omega1	s1pp	s2pp	s3pp	ph1pp	ph2pp	ph3pp	s1sp	s2sp	s3sp	ph1sp	ph2sp	ph3sp
0.5	0.0	300	0.0	0.013521112918843059	0.06255301411947549	0.03149233933934878	0.9448672753924096	1.2059738156155826	1.9861794294517228	0.011761022318759952	0.06213790029024332	0.030621441856871316	0.5187001298822462	1.2316093587155907	1.728709551764681
0.5	0.049999999999999996	300	0.0	0.014376484504551687	0.06269322636453825	0.031666227332176826	1.4338183459197669	2.5226354561078	4.005714851558881	0.01381371297566154	0.06272104687763323	0.030938124671169347	1.3852379227815608	2.5312414508674146	3.702532477589972
0.5	0.09999999999999999	300	0.0	0.016700320547387234	0.0625588205049667	0.031063658034379556	1.0438285109316843	2.0228264907191775	3.2623162813660715	0.016540101256025834	0.06253933760772902	0.030117638756437814	1.2388690828524338	1.990504660560795	2.871242952553766
0.5	0.15	300	0.0	0.02056674349113148	0.062198392818017735	0.030870524605857333	-0.8929923614856992	4.545613781041415	3.91926549349367	0.020999026546481538	0.06177965593991913	0.02990566678405265	-0.6124555899155213	4.425251170138353	3.379566068317402
0.5	0.19999999999999998	300	0.0	0.028008147686357142	0.06100438392720717	0.030257979009001706	-1.3266099662888813	3.634718859195779	2.551461920253547	0.02802314949909586	0.060718789370238675	0.029504601133845038	-1.078046760282778	3.467100090243735	1.9443715284536418
0.5	0.24999999999999997	300	0.0	0.03394558839012585	0.058446918018189666	0.028266463013893545	0.5247943649447979	1.2380072044919652	2.083504493261995	0.03441168545204611	0.058279585210246995	0.0279305607317698	0.764862079464236	1.0116122808006367	1.373064071261412
0.5	0.3	300	0.0	0.04428070066463442	0.05801559867067947	0.027891918053596837	-0.5681588308494209	-1.2148239876118365	-1.542036537526201	0.04376495678851261	0.0575056199184027	0.027196472275915075	-0.4024611171400865	-1.4906901690147467	3.9804759793852966
0.5	0.35	300	0.0	0.05428155006567577	0.05730434283507188	0.02680357648679062	2.081713289290297	4.256644317789508	0.32376354499947235	0.05255917439468716	0.05568413141136491	0.025724471347311102	2.1873691347390425	3.937028579567278	-0.5401229250355365
0.5	0.39999999999999997	300	0.0	0.06690687392562918	0.055928812193341365	0.026074820930974005	4.468878739727471	2.4676236818144384	0.8744059217921091	0.06431001895783217	0.05314923360771464	0.023505284534191002	4.527444006148595	2.094117445026402	-0.05707085893954971
0.5	0.44999999999999996	300	0.0	0.07467996107218235	0.053677319964482446	0.0223224391931982	2.7206109028392516	-0.8355562384926097	2.0692033167554964	0.07162880004723216	0.050709837164715464	0.021319332410845954	2.7153083962415265	-1.266949306507747	1.0393084611829633
0.5	0.49999999999999994	300	0.0	0.09290076410396678	0.05252548342572935	0.022620310277171304	1.6651967931985177	3.298750057103674	-1.140543855772867	0.08928613976992812	0.048241264592409065	0.020213357955787034	1.620107720150121	2.8142244587916445	4.065504766887402
0.5	0.5499999999999999	300	0.0	0.1074567829827404	0.04999150025835706	0.020382876597350007	1.5770241539089824	3.0976513811273536	-1.4498012071151078	0.10191809941507025	0.04578443861721613	0.01834606188119465	1.5145567696513211	2.5975813071922014	3.6998862728259168
0.5	0.6	300	0.0	0.12390677311808525	0.04882251141700026	0.019530377105621773	1.2735576868103389	2.4849143308574293	3.880816230638187	0.11748437695550622	0.04315362332145748	0.016881946552112247	1.1835569363147922	1.9511861008907987	2.709540057458431
0.5	0.6499999999999999	300	0.0	0.1297072348877657	0.04380939328960568	0.01599195060348749	2.2768480013279984	4.483308064914251	0.6020324552881162	0.12282877505707666	0.037836976181209625	0.012846034321903349	2.137111572591621	3.8698854285434656	-0.6904682938163573
0.5	0.7	300	0.0	0.13776128170794094	0.04110636850658963	0.01272215080639724	2.9715527841694858	-0.43900696480991214	2.540815514880071	0.1287354485638184	0.03332430769835235	0.010547422001281918	2.810339057570998	-1.0494993789047127	1.206036656666131
0.5	0.7499999999999999	300	0.0	0.17408275165676199	0.04210989300930434	0.014102840372544612	0.5813924126252538	1.1156682280821675	1.8525080609048243	0.1681154996702512	0.038407559954212064	0.012071587665235466	0.47874531779595386	0.669946895768661	0.8480848802350499
0.5	0.7999999999999999	300	0.0	0.17597258979164232	0.03574285331389807	0.011005477794051165	-1.481332025813295	3.0948168296926144	1.6449833681076298	0.16211187990563503	0.02671938798527316	0.006224056267372089	4.659783848153516	2.610259926626898	0.5627963185535639
0.5	0.85	300	0.0	0.18939235933480697	0.033946864245583165	0.009509081524187122	-1.3666376659402866	3.3589244754482426	1.9994563603848403	0.176156332500831	0.025977702093683875	0.005193753909004505	-1.4938931339174402	2.996907776088482	1.2069260703071396
0.5	0.8999999999999999	300	0.0	0	0	0	0	0	0	0	0	0	0	0	0
0.5	0.95	300	0.0	0	0	0	0	0	0	0	0	0	0	0	0
0.5	0.0	300	0.41887902047863906	0.012848247624671877	0.061802336513340585	0.030688016862606343	1.9274378577781903	3.7919283565205277	-0.39715094234955967	0.014071694112744821	0.062354048521867475	0.031186510686622107	1.575525821905277	3.8106332418943705	-0.6572120583324497
0.5	0.049999999999999996	300	0.41887902047863906	0.018394331655429363	0.06176803765374599	0.029625007878365722	0.783792400061756	1.6575321932464748	2.698712399854586	0.008866929011034141	0.06346096797319506	0.031502318932328265	0.617528024790762	1.6499765087093288	2.3753444650211617
0.5	0.09999999999999999	300	0.41887902047863906	0.02591960055256113	0.060461415931779776	0.029178312314615353	1.722227849050715	3.6713576958070933	-0.573743180288152	0.006637928248152396	0.0628830750620623	0.03205114214835284	1.6280056969871985	3.611745223735659	-0.9677311481028645
0.5	0.15	300	0.41887902047863906	0.03241071013242862	0.0592145347122522	0.026633406067350623	2.9599806706345366	-0.19105429464406395	3.069409748443372	0.005943464968154117	0.06308523889545647	0.030498555427390377	3.2392437360631616	-0.2862289756815582	2.6092109303886155
0.5	0.19999999999999998	300	0.41887902047863906	0.042298266441717115	0.05835294197359916	0.026600582992970932	3.951265510576449	1.635469671495589	-0.4026473795987108	0.007696395479562849	0.06286282092156104	0.031046723619164426	4.423891535921126	1.503712241611475	-0.9577795097911531
0.5	0.24999999999999997	300	0.41887902047863906	0.055992390771838665	0.055849643744075056	0.026077549809059967	-0.06692371747304268	-0.0646009582890231	0.16491448675160805	0.01069102939285089	0.060037128192898956	0.031315583257068756	0.46438195656648895	-0.19896592889952805	-0.35071722284370505
0.5	0.3	300	0.41887902047863906	0.06091996969231667	0.055135239002886846	0.022757993976571002	2.6243695519585044	-0.9047522310192105	1.9814038064467514	0.01408118721107532	0.061630085788959316	0.029485179199665455	2.880209995193019	-1.121803208525944	1.353106848533129
0.5	0.35	300	0.41887902047863906	0.07646591499552469	0.05387532617043325	0.02354697829952004	-0.797185530873723	4.640352881850343	4.092102189378998	0.022301838321395824	0.06082630694187618	0.029891338651848384	-0.5261152757502093	4.399356642550282	3.4171682377002828
0.5	0.39999999999999997	300	0.41887902047863906	0.0887894864425365	0.051172956974848166	0.02193334469672838	-0.40030555694450476	-0.9510895385921235	-1.146349195897053	0.031023739095260048	0.05863254871151422	0.029538134677916897	-0.22762071066436734	-1.2780892615355752	4.392021578193393
0.5	0.44999999999999996	300	0.41887902047863906	0.1078701749544877	0.05133919382350188	0.021300233956461623	-0.04356947713006584	-0.15046719615193357	0.04525540175212686	0.04309146549664871	0.05563280206253524	0.0279245212453349	0.13154317718025504	-0.38710698923324266	-0.5836556862707212
0.5	0.49999999999999994	300	0.41887902047863906	0.10541282040601418	0.04832431641601899	0.016604147587503653	3.7927556193530996	1.1168431864727395	-1.0980781567338467	0.04798566573480147	0.05511909856615967	0.023409670177694897	3.8183520215232383	0.7614341533325266	4.248812320196046
0.5	0.5499999999999999	300	0.41887902047863906	0.11653618351938867	0.044410703298816155	0.015790643272941378	2.7005224634571	-0.9114650351758866	1.9356780875906006	0.061113702081817455	0.051458983104101935	0.022997446279021738	2.6739310381753008	-1.32580278838293	1.0665170571297702
0.5	0.6	300	0.41887902047863906	0.14832888737323363	0.046008145906023326	0.017062144990191357	-0.19966428723923788	-0.5938631386766676	-0.6585742137077482	0.0871964538338027	0.047076470383249476	0.021797020163499145	-0.20896552900349505	-1.1039328575851697	4.615316889336535
0.5	0.6499999999999999	300	0.41887902047863906	0.16317772510448597	0.0452652112101756	0.016267398146659385	0.2788547776409854	0.45612900196343964	0.8803889487039515	0.10782075837238157	0.04683375737066904	0.020761775134760307	0.24714337548728246	0.01918840398396807	-0.008315889010276323
0.5	0.7	300	0.41887902047863906	0.1454298060021421	0.03736600075080302	0.010022185662493101	3.0860392379950428	-0.2026178671531394	2.8604242476198216	0.10203297959133252	0.03875978720726276	0.014923519850471354	2.9572372164428122	-0.8266986901704828	1.7056471471375927
0.5	0.7499999999999999	300	0.41887902047863906	0.1615220910167387	0.03512359192285902	0.0101586781058855	4.207820659228972	1.8467208830021873	-0.016317662329623287	0.12012434746473628	0.034254897887730056	0.01020772909644954	4.071344246359157	1.1729971523599065	-1.3850143172493323
0.5	0.7999999999999999	300	0.41887902047863906	0.18312828230637207	0.03464273658070066	0.00934185872055037	-1.2362749112859355	3.620651480681361	2.4014912301250604	0.14633100514638767	0.028847931005494286	0.008810228462564485	-1.373990669910605	2.9559819023217675	1.094812687440185
0.5	0.85	300	0.41887902047863906	0.20609679354187577	0.03771047860027344	0.009624360132453911	-0.6713285856426217	-1.4702908636249614	4.155850680789181	0.1767445766029545	0.029256571745860913	0.007142860599747808	-0.7920221686263502	4.3359014163912475	3.0459998420726833
0.5	0.8999999999999999	300	0.41887902047863906	0	0	0	0	0	0	0.16361290441815943	0.022464688174814677	0.0047258645845056745	2.5112572692518107	-1.4275469203085442	0.6870370360602763
0.5	0.95	300	0.41887902047863906	0	0	0	0	0	0	0	0	0	0	0	0
0.5	0.0	300	0.8377580409572781	0.013406611829619889	0.0615142706838866	0.02861983497640688	1.3079263535213013	2.6702024924096257	4.216087745391738	0.014721470837579537	0.06174810910719872	0.03046141998308739	1.036487923923945	2.671466608776142	3.979422482033535
0.5	0.049999999999999996	300	0.8377580409572781	0.022229614840159062	0.05984118567588022	0.026792020041246888	2.310005852448661	-1.4415079731607334	1.1480172580567787	0.006294965411661204	0.06228013488673772	0.0305764164066395	1.7844999754802509	-1.452017660320222	0.8905372478692646
0.5	0.09999999999999999	300	0.8377580409572781	0.03310469740221816	0.05881027399146967	0.02651419483110279	1.6646694291222466	3.5099589434932064	-0.8302344165160845	0.0038618103710451658	0.06310016179463668	0.03245056744718947	-0.5388197163278369	3.479053830287186	-1.116925254543422
0.5	0.15	300	0.8377580409572781	0.04157064219334457	0.05731618641590179	0.024304196463690027	3.611942557241439	0.9483639327004578	-1.4700204688580831	0.007984095729029122	0.06386464984026115	0.031985473807998946	0.5924820661804027	0.916620514492203	4.485461661181983
0.5	0.19999999999999998	300	0.8377580409572781	0.05318389287652079	0.05597233477679197	0.02386688475349724	0.7087240678842839	1.513470908552146	2.4652269837608056	0.014526444627505323	0.06502743719055262	0.0332959928177531	3.9385265605841844	1.4715967085086392	2.146738095589536
0.5	0.24999999999999997	300	0.8377580409572781	0.0650309765604228	0.05265861731289487	0.02167956585960885	0.3702534684686139	0.8584191878595792	1.4942909225925454	0.019073417062059443	0.06355269349710113	0.03394456215680917	3.566435828692618	0.7871696403653752	1.1248329047515386
0.5	0.3	300	0.8377580409572781	0.07318258679958828	0.052935963224156966	0.02017539496262944	3.810159803143649	1.2342629733654071	-0.9894543265499312	0.018710555200388532	0.06540781715358214	0.033147519364877656	0.6191965277900648	1.1345987559726094	-1.4417802726490174
0.5	0.35	300	0.8377580409572781	0.09004195595975568	0.05157690833424659	0.019883379423749157	1.2408352948364634	2.469442218230383	3.8978966111294886	0.02067946396591832	0.0656673011638735	0.03407966677200324	4.4460805108430215	2.3956798708528324	3.589082084502743
0.5	0.39999999999999997	300	0.8377580409572781	0.10060888773890782	0.04967419754373021	0.018971357977043583	0.8522685081198919	1.679636710705373	2.696523490917517	0.019277331619259836	0.0653123741886627	0.03404462796983396	4.03879243534744	1.5811304634613603	2.3783653816129156
0.5	0.44999999999999996	300	0.8377580409572781	0.11309431018283608	0.04816369731067196	0.01820639662621136	-0.809569701822253	4.50062508624334	3.8585682677922604	0.01549979163490742	0.06452717548445244	0.03319824344005415	2.2459247677501857	4.334764808838814	3.441084531559323
0.5	0.49999999999999994	300	0.8377580409572781	0.11706404919119973	0.0451114832087654	0.014744796856155278	4.229992035119373	1.925413317639366	0.11070862015763379	0.008915184771047182	0.06385346864571764	0.03087019061294585	1.1788318602822057	1.734023136001751	-0.4198340343839709
0.5	0.5499999999999999	300	0.8377580409572781	0.12745189819838734	0.041792612822813324	0.013335880036016098	2.186391479479226	4.328726371231539	0.34896113904644827	0.005563854393343418	0.0625384615880258	0.030467261361356336	0.6171543114355709	4.168073872578672	0.00938771154400617
